taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit,,,
.\data\task_58,Design C 80% p2_140000,92.278440000,38.891840000,Design C,1.561570000,0.800000000,DA,1.000000000,.\data\task_58\rotor1\Mis_line1d_mid_rotor1_task_58.json,.\data\task_58\rotor2\Mis_line1d_mid_rotor2_task_58.json,.\data\task_58\rotor3\Mis_line1d_mid_rotor3_task_58.json,.\data\task_58\stator1\Mis_line1d_mid_stator1_task_58.json,.\data\task_58\stator2\Mis_line1d_mid_stator2_task_58.json,.\data\task_58\stator3\Mis_line1d_mid_stator3_task_58.json,.\data\task_58\rotor1\ent_area2d_exit_rotor1_task_58.json,.\data\task_58\rotor2\ent_area2d_exit_rotor2_task_58.json,.\data\task_58\rotor3\ent_area2d_exit_rotor3_task_58.json,.\data\task_58\stator1\ent_area2d_exit_stator1_task_58.json,.\data\task_58\stator2\ent_area2d_exit_stator2_task_58.json,.\data\task_58\stator3\ent_area2d_exit_stator3_task_58.json,,,
.\data\task_59,Design C 80% p2_150000,93.058900000,36.678510000,Design C,1.635900000,0.800000000,GAC,1.040000000,.\data\task_59\rotor1\Mis_line1d_mid_rotor1_task_59.json,.\data\task_59\rotor2\Mis_line1d_mid_rotor2_task_59.json,.\data\task_59\rotor3\Mis_line1d_mid_rotor3_task_59.json,.\data\task_59\stator1\Mis_line1d_mid_stator1_task_59.json,.\data\task_59\stator2\Mis_line1d_mid_stator2_task_59.json,.\data\task_59\stator3\Mis_line1d_mid_stator3_task_59.json,.\data\task_59\rotor1\ent_area2d_exit_rotor1_task_59.json,.\data\task_59\rotor2\ent_area2d_exit_rotor2_task_59.json,.\data\task_59\rotor3\ent_area2d_exit_rotor3_task_59.json,.\data\task_59\stator1\ent_area2d_exit_stator1_task_59.json,.\data\task_59\stator2\ent_area2d_exit_stator2_task_59.json,.\data\task_59\stator3\ent_area2d_exit_stator3_task_59.json,,,
.\data\task_60,Design D 100% p2_140000,83.516310000,51.884830000,Design D,1.712090000,1.000000000,DA,0.960000000,.\data\task_60\rotor1\Mis_line1d_mid_rotor1_task_60.json,.\data\task_60\rotor2\Mis_line1d_mid_rotor2_task_60.json,.\data\task_60\rotor3\Mis_line1d_mid_rotor3_task_60.json,.\data\task_60\stator1\Mis_line1d_mid_stator1_task_60.json,.\data\task_60\stator2\Mis_line1d_mid_stator2_task_60.json,.\data\task_60\stator3\Mis_line1d_mid_stator3_task_60.json,.\data\task_60\rotor1\ent_area2d_exit_rotor1_task_60.json,.\data\task_60\rotor2\ent_area2d_exit_rotor2_task_60.json,.\data\task_60\rotor3\ent_area2d_exit_rotor3_task_60.json,.\data\task_60\stator1\ent_area2d_exit_stator1_task_60.json,.\data\task_60\stator2\ent_area2d_exit_stator2_task_60.json,.\data\task_60\stator3\ent_area2d_exit_stator3_task_60.json,,,
.\data\task_61,Design D 100% p2_150000,86.689900000,51.858810000,Design D,1.787169000,1.000000000,GAC,1.000000000,.\data\task_61\rotor1\Mis_line1d_mid_rotor1_task_61.json,.\data\task_61\rotor2\Mis_line1d_mid_rotor2_task_61.json,.\data\task_61\rotor3\Mis_line1d_mid_rotor3_task_61.json,.\data\task_61\stator1\Mis_line1d_mid_stator1_task_61.json,.\data\task_61\stator2\Mis_line1d_mid_stator2_task_61.json,.\data\task_61\stator3\Mis_line1d_mid_stator3_task_61.json,.\data\task_61\rotor1\ent_area2d_exit_rotor1_task_61.json,.\data\task_61\rotor2\ent_area2d_exit_rotor2_task_61.json,.\data\task_61\rotor3\ent_area2d_exit_rotor3_task_61.json,.\data\task_61\stator1\ent_area2d_exit_stator1_task_61.json,.\data\task_61\stator2\ent_area2d_exit_stator2_task_61.json,.\data\task_61\stator3\ent_area2d_exit_stator3_task_61.json,,,
.\data\task_62,Design D 100% p2_160000,90.116190000,51.646610000,Design D,1.866713000,1.000000000,DA,1.040000000,.\data\task_62\rotor1\Mis_line1d_mid_rotor1_task_62.json,.\data\task_62\rotor2\Mis_line1d_mid_rotor2_task_62.json,.\data\task_62\rotor3\Mis_line1d_mid_rotor3_task_62.json,.\data\task_62\stator1\Mis_line1d_mid_stator1_task_62.json,.\data\task_62\stator2\Mis_line1d_mid_stator2_task_62.json,.\data\task_62\stator3\Mis_line1d_mid_stator3_task_62.json,.\data\task_62\rotor1\ent_area2d_exit_rotor1_task_62.json,.\data\task_62\rotor2\ent_area2d_exit_rotor2_task_62.json,.\data\task_62\rotor3\ent_area2d_exit_rotor3_task_62.json,.\data\task_62\stator1\ent_area2d_exit_stator1_task_62.json,.\data\task_62\stator2\ent_area2d_exit_stator2_task_62.json,.\data\task_62\stator3\ent_area2d_exit_stator3_task_62.json,,,
.\data\task_63,Design D 100% p2_170000,91.554270000,50.912650000,Design D,1.945883000,1.000000000,GAC,0.960000000,.\data\task_63\rotor1\Mis_line1d_mid_rotor1_task_63.json,.\data\task_63\rotor2\Mis_line1d_mid_rotor2_task_63.json,.\data\task_63\rotor3\Mis_line1d_mid_rotor3_task_63.json,.\data\task_63\stator1\Mis_line1d_mid_stator1_task_63.json,.\data\task_63\stator2\Mis_line1d_mid_stator2_task_63.json,.\data\task_63\stator3\Mis_line1d_mid_stator3_task_63.json,.\data\task_63\rotor1\ent_area2d_exit_rotor1_task_63.json,.\data\task_63\rotor2\ent_area2d_exit_rotor2_task_63.json,.\data\task_63\rotor3\ent_area2d_exit_rotor3_task_63.json,.\data\task_63\stator1\ent_area2d_exit_stator1_task_63.json,.\data\task_63\stator2\ent_area2d_exit_stator2_task_63.json,.\data\task_63\stator3\ent_area2d_exit_stator3_task_63.json,,,
.\data\task_64,Design D 100% p2_180000,92.371030000,49.883630000,Design D,2.025576000,1.000000000,DA,1.000000000,.\data\task_64\rotor1\Mis_line1d_mid_rotor1_task_64.json,.\data\task_64\rotor2\Mis_line1d_mid_rotor2_task_64.json,.\data\task_64\rotor3\Mis_line1d_mid_rotor3_task_64.json,.\data\task_64\stator1\Mis_line1d_mid_stator1_task_64.json,.\data\task_64\stator2\Mis_line1d_mid_stator2_task_64.json,.\data\task_64\stator3\Mis_line1d_mid_stator3_task_64.json,.\data\task_64\rotor1\ent_area2d_exit_rotor1_task_64.json,.\data\task_64\rotor2\ent_area2d_exit_rotor2_task_64.json,.\data\task_64\rotor3\ent_area2d_exit_rotor3_task_64.json,.\data\task_64\stator1\ent_area2d_exit_stator1_task_64.json,.\data\task_64\stator2\ent_area2d_exit_stator2_task_64.json,.\data\task_64\stator3\ent_area2d_exit_stator3_task_64.json,,,
.\data\task_65,Design D 100% p2_190000,92.833650000,48.556420000,Design D,2.108516000,1.000000000,GAC,1.040000000,.\data\task_65\rotor1\Mis_line1d_mid_rotor1_task_65.json,.\data\task_65\rotor2\Mis_line1d_mid_rotor2_task_65.json,.\data\task_65\rotor3\Mis_line1d_mid_rotor3_task_65.json,.\data\task_65\stator1\Mis_line1d_mid_stator1_task_65.json,.\data\task_65\stator2\Mis_line1d_mid_stator2_task_65.json,.\data\task_65\stator3\Mis_line1d_mid_stator3_task_65.json,.\data\task_65\rotor1\ent_area2d_exit_rotor1_task_65.json,.\data\task_65\rotor2\ent_area2d_exit_rotor2_task_65.json,.\data\task_65\rotor3\ent_area2d_exit_rotor3_task_65.json,.\data\task_65\stator1\ent_area2d_exit_stator1_task_65.json,.\data\task_65\stator2\ent_area2d_exit_stator2_task_65.json,.\data\task_65\stator3\ent_area2d_exit_stator3_task_65.json,,,
.\data\task_66,Design D 90% p2_110000,74.946460000,46.842140000,Design D,1.439822000,0.900000000,DA,0.960000000,.\data\task_66\rotor1\Mis_line1d_mid_rotor1_task_66.json,.\data\task_66\rotor2\Mis_line1d_mid_rotor2_task_66.json,.\data\task_66\rotor3\Mis_line1d_mid_rotor3_task_66.json,.\data\task_66\stator1\Mis_line1d_mid_stator1_task_66.json,.\data\task_66\stator2\Mis_line1d_mid_stator2_task_66.json,.\data\task_66\stator3\Mis_line1d_mid_stator3_task_66.json,.\data\task_66\rotor1\ent_area2d_exit_rotor1_task_66.json,.\data\task_66\rotor2\ent_area2d_exit_rotor2_task_66.json,.\data\task_66\rotor3\ent_area2d_exit_rotor3_task_66.json,.\data\task_66\stator1\ent_area2d_exit_stator1_task_66.json,.\data\task_66\stator2\ent_area2d_exit_stator2_task_66.json,.\data\task_66\stator3\ent_area2d_exit_stator3_task_66.json,,,
.\data\task_67,Design D 90% p2_120000,80.362860000,46.819680000,Design D,1.495827000,0.900000000,GAC,1.000000000,.\data\task_67\rotor1\Mis_line1d_mid_rotor1_task_67.json,.\data\task_67\rotor2\Mis_line1d_mid_rotor2_task_67.json,.\data\task_67\rotor3\Mis_line1d_mid_rotor3_task_67.json,.\data\task_67\stator1\Mis_line1d_mid_stator1_task_67.json,.\data\task_67\stator2\Mis_line1d_mid_stator2_task_67.json,.\data\task_67\stator3\Mis_line1d_mid_stator3_task_67.json,.\data\task_67\rotor1\ent_area2d_exit_rotor1_task_67.json,.\data\task_67\rotor2\ent_area2d_exit_rotor2_task_67.json,.\data\task_67\rotor3\ent_area2d_exit_rotor3_task_67.json,.\data\task_67\stator1\ent_area2d_exit_stator1_task_67.json,.\data\task_67\stator2\ent_area2d_exit_stator2_task_67.json,.\data\task_67\stator3\ent_area2d_exit_stator3_task_67.json,,,
.\data\task_68,Design D 90% p2_130000,85.201430000,46.792850000,Design D,1.560864000,0.900000000,DA,1.040000000,.\data\task_68\rotor1\Mis_line1d_mid_rotor1_task_68.json,.\data\task_68\rotor2\Mis_line1d_mid_rotor2_task_68.json,.\data\task_68\rotor3\Mis_line1d_mid_rotor3_task_68.json,.\data\task_68\stator1\Mis_line1d_mid_stator1_task_68.json,.\data\task_68\stator2\Mis_line1d_mid_stator2_task_68.json,.\data\task_68\stator3\Mis_line1d_mid_stator3_task_68.json,.\data\task_68\rotor1\ent_area2d_exit_rotor1_task_68.json,.\data\task_68\rotor2\ent_area2d_exit_rotor2_task_68.json,.\data\task_68\rotor3\ent_area2d_exit_rotor3_task_68.json,.\data\task_68\stator1\ent_area2d_exit_stator1_task_68.json,.\data\task_68\stator2\ent_area2d_exit_stator2_task_68.json,.\data\task_68\stator3\ent_area2d_exit_stator3_task_68.json,,,
.\data\task_69,Design D 90% p2_140000,89.688860000,46.363800000,Design D,1.636113000,0.900000000,GAC,0.960000000,.\data\task_69\rotor1\Mis_line1d_mid_rotor1_task_69.json,.\data\task_69\rotor2\Mis_line1d_mid_rotor2_task_69.json,.\data\task_69\rotor3\Mis_line1d_mid_rotor3_task_69.json,.\data\task_69\stator1\Mis_line1d_mid_stator1_task_69.json,.\data\task_69\stator2\Mis_line1d_mid_stator2_task_69.json,.\data\task_69\stator3\Mis_line1d_mid_stator3_task_69.json,.\data\task_69\rotor1\ent_area2d_exit_rotor1_task_69.json,.\data\task_69\rotor2\ent_area2d_exit_rotor2_task_69.json,.\data\task_69\rotor3\ent_area2d_exit_rotor3_task_69.json,.\data\task_69\stator1\ent_area2d_exit_stator1_task_69.json,.\data\task_69\stator2\ent_area2d_exit_stator2_task_69.json,.\data\task_69\stator3\ent_area2d_exit_stator3_task_69.json,,,
.\data\task_70,Design D 90% p2_150000,91.580840000,45.322090000,Design D,1.711510000,0.900000000,DA,1.000000000,.\data\task_70\rotor1\Mis_line1d_mid_rotor1_task_70.json,.\data\task_70\rotor2\Mis_line1d_mid_rotor2_task_70.json,.\data\task_70\rotor3\Mis_line1d_mid_rotor3_task_70.json,.\data\task_70\stator1\Mis_line1d_mid_stator1_task_70.json,.\data\task_70\stator2\Mis_line1d_mid_stator2_task_70.json,.\data\task_70\stator3\Mis_line1d_mid_stator3_task_70.json,.\data\task_70\rotor1\ent_area2d_exit_rotor1_task_70.json,.\data\task_70\rotor2\ent_area2d_exit_rotor2_task_70.json,.\data\task_70\rotor3\ent_area2d_exit_rotor3_task_70.json,.\data\task_70\stator1\ent_area2d_exit_stator1_task_70.json,.\data\task_70\stator2\ent_area2d_exit_stator2_task_70.json,.\data\task_70\stator3\ent_area2d_exit_stator3_task_70.json,,,
.\data\task_71,Design D 90% p2_160000,92.664480000,43.928870000,Design D,1.788233000,0.900000000,GAC,1.040000000,.\data\task_71\rotor1\Mis_line1d_mid_rotor1_task_71.json,.\data\task_71\rotor2\Mis_line1d_mid_rotor2_task_71.json,.\data\task_71\rotor3\Mis_line1d_mid_rotor3_task_71.json,.\data\task_71\stator1\Mis_line1d_mid_stator1_task_71.json,.\data\task_71\stator2\Mis_line1d_mid_stator2_task_71.json,.\data\task_71\stator3\Mis_line1d_mid_stator3_task_71.json,.\data\task_71\rotor1\ent_area2d_exit_rotor1_task_71.json,.\data\task_71\rotor2\ent_area2d_exit_rotor2_task_71.json,.\data\task_71\rotor3\ent_area2d_exit_rotor3_task_71.json,.\data\task_71\stator1\ent_area2d_exit_stator1_task_71.json,.\data\task_71\stator2\ent_area2d_exit_stator2_task_71.json,.\data\task_71\stator3\ent_area2d_exit_stator3_task_71.json,,,
.\data\task_72,Design D 90% p2_170000,93.065120000,42.057040000,Design D,1.865714000,0.900000000,DA,0.960000000,.\data\task_72\rotor1\Mis_line1d_mid_rotor1_task_72.json,.\data\task_72\rotor2\Mis_line1d_mid_rotor2_task_72.json,.\data\task_72\rotor3\Mis_line1d_mid_rotor3_task_72.json,.\data\task_72\stator1\Mis_line1d_mid_stator1_task_72.json,.\data\task_72\stator2\Mis_line1d_mid_stator2_task_72.json,.\data\task_72\stator3\Mis_line1d_mid_stator3_task_72.json,.\data\task_72\rotor1\ent_area2d_exit_rotor1_task_72.json,.\data\task_72\rotor2\ent_area2d_exit_rotor2_task_72.json,.\data\task_72\rotor3\ent_area2d_exit_rotor3_task_72.json,.\data\task_72\stator1\ent_area2d_exit_stator1_task_72.json,.\data\task_72\stator2\ent_area2d_exit_stator2_task_72.json,.\data\task_72\stator3\ent_area2d_exit_stator3_task_72.json,,,
.\data\task_73,Design D 80% p2_90000,64.114770000,42.081380000,Design D,1.256972000,0.800000000,GAC,1.000000000,.\data\task_73\rotor1\Mis_line1d_mid_rotor1_task_73.json,.\data\task_73\rotor2\Mis_line1d_mid_rotor2_task_73.json,.\data\task_73\rotor3\Mis_line1d_mid_rotor3_task_73.json,.\data\task_73\stator1\Mis_line1d_mid_stator1_task_73.json,.\data\task_73\stator2\Mis_line1d_mid_stator2_task_73.json,.\data\task_73\stator3\Mis_line1d_mid_stator3_task_73.json,.\data\task_73\rotor1\ent_area2d_exit_rotor1_task_73.json,.\data\task_73\rotor2\ent_area2d_exit_rotor2_task_73.json,.\data\task_73\rotor3\ent_area2d_exit_rotor3_task_73.json,.\data\task_73\stator1\ent_area2d_exit_stator1_task_73.json,.\data\task_73\stator2\ent_area2d_exit_stator2_task_73.json,.\data\task_73\stator3\ent_area2d_exit_stator3_task_73.json,,,
.\data\task_74,Design D 80% p2_100000,69.913250000,42.073360000,Design D,1.296253000,0.800000000,DA,1.040000000,.\data\task_74\rotor1\Mis_line1d_mid_rotor1_task_74.json,.\data\task_74\rotor2\Mis_line1d_mid_rotor2_task_74.json,.\data\task_74\rotor3\Mis_line1d_mid_rotor3_task_74.json,.\data\task_74\stator1\Mis_line1d_mid_stator1_task_74.json,.\data\task_74\stator2\Mis_line1d_mid_stator2_task_74.json,.\data\task_74\stator3\Mis_line1d_mid_stator3_task_74.json,.\data\task_74\rotor1\ent_area2d_exit_rotor1_task_74.json,.\data\task_74\rotor2\ent_area2d_exit_rotor2_task_74.json,.\data\task_74\rotor3\ent_area2d_exit_rotor3_task_74.json,.\data\task_74\stator1\ent_area2d_exit_stator1_task_74.json,.\data\task_74\stator2\ent_area2d_exit_stator2_task_74.json,.\data\task_74\stator3\ent_area2d_exit_stator3_task_74.json,,,
.\data\task_75,Design D 80% p2_110000,79.306420000,42.049160000,Design D,1.352819000,0.800000000,GAC,0.960000000,.\data\task_75\rotor1\Mis_line1d_mid_rotor1_task_75.json,.\data\task_75\rotor2\Mis_line1d_mid_rotor2_task_75.json,.\data\task_75\rotor3\Mis_line1d_mid_rotor3_task_75.json,.\data\task_75\stator1\Mis_line1d_mid_stator1_task_75.json,.\data\task_75\stator2\Mis_line1d_mid_stator2_task_75.json,.\data\task_75\stator3\Mis_line1d_mid_stator3_task_75.json,.\data\task_75\rotor1\ent_area2d_exit_rotor1_task_75.json,.\data\task_75\rotor2\ent_area2d_exit_rotor2_task_75.json,.\data\task_75\rotor3\ent_area2d_exit_rotor3_task_75.json,.\data\task_75\stator1\ent_area2d_exit_stator1_task_75.json,.\data\task_75\stator2\ent_area2d_exit_stator2_task_75.json,.\data\task_75\stator3\ent_area2d_exit_stator3_task_75.json,,,
.\data\task_76,Design D 80% p2_120000,86.256730000,41.595150000,Design D,1.416590000,0.800000000,DA,1.000000000,.\data\task_76\rotor1\Mis_line1d_mid_rotor1_task_76.json,.\data\task_76\rotor2\Mis_line1d_mid_rotor2_task_76.json,.\data\task_76\rotor3\Mis_line1d_mid_rotor3_task_76.json,.\data\task_76\stator1\Mis_line1d_mid_stator1_task_76.json,.\data\task_76\stator2\Mis_line1d_mid_stator2_task_76.json,.\data\task_76\stator3\Mis_line1d_mid_stator3_task_76.json,.\data\task_76\rotor1\ent_area2d_exit_rotor1_task_76.json,.\data\task_76\rotor2\ent_area2d_exit_rotor2_task_76.json,.\data\task_76\rotor3\ent_area2d_exit_rotor3_task_76.json,.\data\task_76\stator1\ent_area2d_exit_stator1_task_76.json,.\data\task_76\stator2\ent_area2d_exit_stator2_task_76.json,.\data\task_76\stator3\ent_area2d_exit_stator3_task_76.json,,,
.\data\task_77,Design D 80% p2_130000,90.260470000,40.506820000,Design D,1.487900000,0.800000000,GAC,1.040000000,.\data\task_77\rotor1\Mis_line1d_mid_rotor1_task_77.json,.\data\task_77\rotor2\Mis_line1d_mid_rotor2_task_77.json,.\data\task_77\rotor3\Mis_line1d_mid_rotor3_task_77.json,.\data\task_77\stator1\Mis_line1d_mid_stator1_task_77.json,.\data\task_77\stator2\Mis_line1d_mid_stator2_task_77.json,.\data\task_77\stator3\Mis_line1d_mid_stator3_task_77.json,.\data\task_77\rotor1\ent_area2d_exit_rotor1_task_77.json,.\data\task_77\rotor2\ent_area2d_exit_rotor2_task_77.json,.\data\task_77\rotor3\ent_area2d_exit_rotor3_task_77.json,.\data\task_77\stator1\ent_area2d_exit_stator1_task_77.json,.\data\task_77\stator2\ent_area2d_exit_stator2_task_77.json,.\data\task_77\stator3\ent_area2d_exit_stator3_task_77.json,,,
.\data\task_78,Design D 80% p2_140000,92.278410000,38.934090000,Design D,1.561545000,0.800000000,DA,0.960000000,.\data\task_78\rotor1\Mis_line1d_mid_rotor1_task_78.json,.\data\task_78\rotor2\Mis_line1d_mid_rotor2_task_78.json,.\data\task_78\rotor3\Mis_line1d_mid_rotor3_task_78.json,.\data\task_78\stator1\Mis_line1d_mid_stator1_task_78.json,.\data\task_78\stator2\Mis_line1d_mid_stator2_task_78.json,.\data\task_78\stator3\Mis_line1d_mid_stator3_task_78.json,.\data\task_78\rotor1\ent_area2d_exit_rotor1_task_78.json,.\data\task_78\rotor2\ent_area2d_exit_rotor2_task_78.json,.\data\task_78\rotor3\ent_area2d_exit_rotor3_task_78.json,.\data\task_78\stator1\ent_area2d_exit_stator1_task_78.json,.\data\task_78\stator2\ent_area2d_exit_stator2_task_78.json,.\data\task_78\stator3\ent_area2d_exit_stator3_task_78.json,,,
.\data\task_79,Design D 80% p2_150000,93.071580000,36.743240000,Design D,1.635925000,0.800000000,GAC,1.000000000,.\data\task_79\rotor1\Mis_line1d_mid_rotor1_task_79.json,.\data\task_79\rotor2\Mis_line1d_mid_rotor2_task_79.json,.\data\task_79\rotor3\Mis_line1d_mid_rotor3_task_79.json,.\data\task_79\stator1\Mis_line1d_mid_stator1_task_79.json,.\data\task_79\stator2\Mis_line1d_mid_stator2_task_79.json,.\data\task_79\stator3\Mis_line1d_mid_stator3_task_79.json,.\data\task_79\rotor1\ent_area2d_exit_rotor1_task_79.json,.\data\task_79\rotor2\ent_area2d_exit_rotor2_task_79.json,.\data\task_79\rotor3\ent_area2d_exit_rotor3_task_79.json,.\data\task_79\stator1\ent_area2d_exit_stator1_task_79.json,.\data\task_79\stator2\ent_area2d_exit_stator2_task_79.json,.\data\task_79\stator3\ent_area2d_exit_stator3_task_79.json,,,
.\data\task_80,Design E 100% p2_140000,83.857200000,51.981120000,Design E,1.710971000,1.000000000,DA,1.040000000,.\data\task_80\rotor1\Mis_line1d_mid_rotor1_task_80.json,.\data\task_80\rotor2\Mis_line1d_mid_rotor2_task_80.json,.\data\task_80\rotor3\Mis_line1d_mid_rotor3_task_80.json,.\data\task_80\stator1\Mis_line1d_mid_stator1_task_80.json,.\data\task_80\stator2\Mis_line1d_mid_stator2_task_80.json,.\data\task_80\stator3\Mis_line1d_mid_stator3_task_80.json,.\data\task_80\rotor1\ent_area2d_exit_rotor1_task_80.json,.\data\task_80\rotor2\ent_area2d_exit_rotor2_task_80.json,.\data\task_80\rotor3\ent_area2d_exit_rotor3_task_80.json,.\data\task_80\stator1\ent_area2d_exit_stator1_task_80.json,.\data\task_80\stator2\ent_area2d_exit_stator2_task_80.json,.\data\task_80\stator3\ent_area2d_exit_stator3_task_80.json,,,
.\data\task_81,Design E 100% p2_150000,87.287110000,51.963620000,Design E,1.787782000,1.000000000,GAC,0.960000000,.\data\task_81\rotor1\Mis_line1d_mid_rotor1_task_81.json,.\data\task_81\rotor2\Mis_line1d_mid_rotor2_task_81.json,.\data\task_81\rotor3\Mis_line1d_mid_rotor3_task_81.json,.\data\task_81\stator1\Mis_line1d_mid_stator1_task_81.json,.\data\task_81\stator2\Mis_line1d_mid_stator2_task_81.json,.\data\task_81\stator3\Mis_line1d_mid_stator3_task_81.json,.\data\task_81\rotor1\ent_area2d_exit_rotor1_task_81.json,.\data\task_81\rotor2\ent_area2d_exit_rotor2_task_81.json,.\data\task_81\rotor3\ent_area2d_exit_rotor3_task_81.json,.\data\task_81\stator1\ent_area2d_exit_stator1_task_81.json,.\data\task_81\stator2\ent_area2d_exit_stator2_task_81.json,.\data\task_81\stator3\ent_area2d_exit_stator3_task_81.json,,,
.\data\task_82,Design E 100% p2_160000,90.583380000,51.702660000,Design E,1.867255000,1.000000000,DA,1.000000000,.\data\task_82\rotor1\Mis_line1d_mid_rotor1_task_82.json,.\data\task_82\rotor2\Mis_line1d_mid_rotor2_task_82.json,.\data\task_82\rotor3\Mis_line1d_mid_rotor3_task_82.json,.\data\task_82\stator1\Mis_line1d_mid_stator1_task_82.json,.\data\task_82\stator2\Mis_line1d_mid_stator2_task_82.json,.\data\task_82\stator3\Mis_line1d_mid_stator3_task_82.json,.\data\task_82\rotor1\ent_area2d_exit_rotor1_task_82.json,.\data\task_82\rotor2\ent_area2d_exit_rotor2_task_82.json,.\data\task_82\rotor3\ent_area2d_exit_rotor3_task_82.json,.\data\task_82\stator1\ent_area2d_exit_stator1_task_82.json,.\data\task_82\stator2\ent_area2d_exit_stator2_task_82.json,.\data\task_82\stator3\ent_area2d_exit_stator3_task_82.json,,,
.\data\task_83,Design E 100% p2_170000,91.922930000,50.938890000,Design E,1.946042000,1.000000000,GAC,1.040000000,.\data\task_83\rotor1\Mis_line1d_mid_rotor1_task_83.json,.\data\task_83\rotor2\Mis_line1d_mid_rotor2_task_83.json,.\data\task_83\rotor3\Mis_line1d_mid_rotor3_task_83.json,.\data\task_83\stator1\Mis_line1d_mid_stator1_task_83.json,.\data\task_83\stator2\Mis_line1d_mid_stator2_task_83.json,.\data\task_83\stator3\Mis_line1d_mid_stator3_task_83.json,.\data\task_83\rotor1\ent_area2d_exit_rotor1_task_83.json,.\data\task_83\rotor2\ent_area2d_exit_rotor2_task_83.json,.\data\task_83\rotor3\ent_area2d_exit_rotor3_task_83.json,.\data\task_83\stator1\ent_area2d_exit_stator1_task_83.json,.\data\task_83\stator2\ent_area2d_exit_stator2_task_83.json,.\data\task_83\stator3\ent_area2d_exit_stator3_task_83.json,,,
.\data\task_84,Design E 100% p2_180000,92.657870000,49.880930000,Design E,2.025617000,1.000000000,DA,0.960000000,.\data\task_84\rotor1\Mis_line1d_mid_rotor1_task_84.json,.\data\task_84\rotor2\Mis_line1d_mid_rotor2_task_84.json,.\data\task_84\rotor3\Mis_line1d_mid_rotor3_task_84.json,.\data\task_84\stator1\Mis_line1d_mid_stator1_task_84.json,.\data\task_84\stator2\Mis_line1d_mid_stator2_task_84.json,.\data\task_84\stator3\Mis_line1d_mid_stator3_task_84.json,.\data\task_84\rotor1\ent_area2d_exit_rotor1_task_84.json,.\data\task_84\rotor2\ent_area2d_exit_rotor2_task_84.json,.\data\task_84\rotor3\ent_area2d_exit_rotor3_task_84.json,.\data\task_84\stator1\ent_area2d_exit_stator1_task_84.json,.\data\task_84\stator2\ent_area2d_exit_stator2_task_84.json,.\data\task_84\stator3\ent_area2d_exit_stator3_task_84.json,,,
.\data\task_85,Design E 100% p2_190000,92.932350000,48.428480000,Design E,2.108197000,1.000000000,GAC,1.000000000,.\data\task_85\rotor1\Mis_line1d_mid_rotor1_task_85.json,.\data\task_85\rotor2\Mis_line1d_mid_rotor2_task_85.json,.\data\task_85\rotor3\Mis_line1d_mid_rotor3_task_85.json,.\data\task_85\stator1\Mis_line1d_mid_stator1_task_85.json,.\data\task_85\stator2\Mis_line1d_mid_stator2_task_85.json,.\data\task_85\stator3\Mis_line1d_mid_stator3_task_85.json,.\data\task_85\rotor1\ent_area2d_exit_rotor1_task_85.json,.\data\task_85\rotor2\ent_area2d_exit_rotor2_task_85.json,.\data\task_85\rotor3\ent_area2d_exit_rotor3_task_85.json,.\data\task_85\stator1\ent_area2d_exit_stator1_task_85.json,.\data\task_85\stator2\ent_area2d_exit_stator2_task_85.json,.\data\task_85\stator3\ent_area2d_exit_stator3_task_85.json,,,
.\data\task_86,Design E 90% p2_110000,75.233750000,46.909980000,Design E,1.441849000,0.900000000,DA,1.040000000,.\data\task_86\rotor1\Mis_line1d_mid_rotor1_task_86.json,.\data\task_86\rotor2\Mis_line1d_mid_rotor2_task_86.json,.\data\task_86\rotor3\Mis_line1d_mid_rotor3_task_86.json,.\data\task_86\stator1\Mis_line1d_mid_stator1_task_86.json,.\data\task_86\stator2\Mis_line1d_mid_stator2_task_86.json,.\data\task_86\stator3\Mis_line1d_mid_stator3_task_86.json,.\data\task_86\rotor1\ent_area2d_exit_rotor1_task_86.json,.\data\task_86\rotor2\ent_area2d_exit_rotor2_task_86.json,.\data\task_86\rotor3\ent_area2d_exit_rotor3_task_86.json,.\data\task_86\stator1\ent_area2d_exit_stator1_task_86.json,.\data\task_86\stator2\ent_area2d_exit_stator2_task_86.json,.\data\task_86\stator3\ent_area2d_exit_stator3_task_86.json,,,
